,year,runtime,title,genre,actor,actress,director,popularity,premiere,imdb score,language
105,1932,92,Rich & Strange,Drama,"Kendall, Henry","Barry, Joan","Hitchcock, Alfred",57,,,
106,1987,104,Lionheart,Action,"Stoltz, Eric","Barrymore, Deborah","Schaffner, Franklin J.",9,,,
107,1982,115,E. T. The Extra-Terrestrial,Science Fiction,"Wallace, Dee","Barrymore, Drew","Spielberg, Steven",8,,,
108,1992,101,Cool World,Drama,"Byrne, Gabriel","Basinger, Kim","Bakshi, Ralph",44,,,
109,1988,83,Nadine,Comedy,"Bridges, Jeff","Basinger, Kim","Benton, Robert",47,,,
110,1989,126,Batman,Action,"Nicholson, Jack","Basinger, Kim","Burton, Tim",14,,,
111,1987,95,Blind Date,Comedy,"Willis, Bruce","Basinger, Kim","Edwards, Blake",7,,,
112,1982,101,Mother Lode,Action,"Heston, Charlton","Basinger, Kim","Heston, Charlton",40,,,
113,1992,125,Final Analysis,Drama,"Gere, Richard","Basinger, Kim","Joanou, Phil",50,,,
114,1983,134,Never Say Never Again,Action,"Connery, Sean","Basinger, Kim","Kershner, Irvin",8,,,
115,1986,117,Nine & a Half Weeks,Drama,"Rourke, Mickey","Basinger, Kim","Lyne, Adrian",7,,,
117,1986,108,No Mercy,Drama,"Gere, Richard","Basinger, Kim","Pearce, Richard",11,,,
118,1991,116,"Marrying Man, The",Comedy,"Baldwin, Alec","Basinger, Kim","Rees, Jerry",84,,,
119,1990,123,Misery,Horror,"Caan, James","Bates, Kathy","Reiner, Rob",48,,,
120,1946,93,Crisis,Drama,"Andersson, Wiktor","Baude, Anna-Lisa","Bergman, Ingmar",66,,,
121,1984,95,Samson & Delilah,Drama,"Hamilton, Antony","Bauer, Belinda","Philips, Lee",36,,,
123,1988,96,Split Decisions,Drama,"Hackman, Gene","Beals, Jennifer","Drury, David",52,,,
125,1988,96,Nightmare at Noon,Action,"Hauser, Wings","Beck, Kimberly","Mastorakis, Nico",0,,,
126,1990,127,Presumed Innocent,Mystery,"Ford, Harrison","Bedelia, Bonnie","Pakula, Alan J.",69,,,
127,1942,123,Reap the Wild Wind,Drama,"Wayne, John","Beecher, Janet","DeMille, Cecil B.",59,,,
128,1972,100,Pocket Money,Comedy,"Newman, Paul","Belford, Christine","Rosenberg, Stuart",55,,,
129,1977,102,Mary White,Drama,"Flanders, Ed","Beller, Kathleen","Taylor, Jud",2,,,
131,1990,105,Guilty by Suspicion,Drama,"De Niro, Robert","Bening, Annette","Winkler, Irwin",88,,,
132,1948,99,Secret Beyond the Door,Mystery,"Redgrave, Michael","Bennett, Joan","Lang, Fritz",31,,,
133,1945,103,Scarlet Street,Drama,"Robinson, Edward G.","Bennett, Joan","Lang, Fritz",80,,,
134,1988,76,Daffy Duck's Quackbusters,Action,"Blanc, Mel","Bennett, Julie","Ford, Greg",68,,,
136,1982,188,Gandhi,Drama,"Kingsley, Ben","Bergen, Candice","Attenborough, Richard",7,,,
137,1975,120,"Wind & the Lion, The",Action,"Connery, Sean","Bergen, Candice","Milius, John",2,,,
